,YEAR,TOTAL_SETS,TOTAL_THEMES,TOTAL_SUBTHEMES,TOTAL_PIECES,TOTAL_MINIFIGURES,MED_PIECES,MED_MINIFIGS,MED_PRICE,MED_PPP,MED_VALNEW,MED_VALUSED,MEAN_PIECES,MEAN_MINIFIGS,MEAN_PRICE,MEAN_PPP,MEAN_VALNEW,MEAN_VALUSED
1,1955,25,1,3,438,0,13,0,NA,0,NA,97.2,17.52,0,NA,0,NA,97.2
2,1956,11,1,3,226,0,6,0,NA,0,NA,33.7,20.54545455,0,NA,0,NA,33.7
3,1957,16,1,4,828,0,22,0,NA,0,NA,188.795,51.75,0,NA,0,NA,493.1775
4,1958,40,1,5,1391,0,10,0,NA,0,8.995,16.87,34.775,0,NA,0,8.995,141.4688235
5,1959,7,1,2,136,0,21,0,NA,0,26.99,13.825,19.42857143,0,NA,0,26.99,50.22666667
6,1961,55,2,5,3103,0,12,0,0.5,0.033235294,277.73,64.99,56.41818182,0,1.447777778,0.042361883,277.73,168.925
7,1962,11,1,4,1612,0,40,0,NA,0,26.52,20.305,146.5454545,0,NA,0,26.52,296.91375
8,1963,18,2,8,5960,0,139,0,14.95,0,93.95,46.92,331.1111111,0,41.96666667,0.00441175,148.4666667,74.868
9,1964,19,2,7,2025,0,87,0,0.98,0,161.59,89.91,106.5789474,0,1.547142857,0.014952621,161.59,83.932
10,1965,19,2,5,1985,0,57,0,4.95,0,80,49.175,104.4736842,0,5.0875,0.095397496,80,78.388
11,1966,126,3,9,8396,0,20,0,2.475,0,31.03,24.15,66.63492063,0,4.865666667,0.016706763,51.49542857,48.13354167
12,1967,29,3,7,5556,0,107,0,4.985,0,21.02,40.05,191.5862069,0,6.849285714,0.031919242,65.42,69.611875
13,1968,47,3,11,7299,0,111,0,15,0,124.995,35.33,155.2978723,0,14.68714286,0.005831419,223.48625,58.64391304
14,1969,74,6,14,6382,0,29,0,5,0,44.72,31.275,86.24324324,0,8.847142857,0.002592506,168.0202778,71.70475
15,1970,31,7,9,3034,0,67,0,4.99,0,99.875,29.61,97.87096774,0,7.99,0.004870737,198.345,63.16421053
16,1971,73,6,8,14370,0,64,0,8,0,98.3,29.19,196.8493151,0,8.342173913,0.11571466,99.74411765,46.44097561
17,1972,37,7,9,7984,0,93,0,6.99,0,114.78,32.345,215.7837838,0,7.982,0.005739448,130.93,48.65857143
18,1973,71,7,7,7701,0,59,0,16,0,87.15,28.34,108.4647887,0,14,0.001170367,139.1574286,35.50896552
19,1974,37,6,8,4379,0,92,0,9,0,80.28,17.34,118.3513514,0,9.333333333,0.005497594,137.8111538,63.84264706
20,1975,42,7,4,6922,37,91,0,14.95,0,106.29,38.645,164.8095238,0.880952381,14.95,0.016950113,218.3171429,58.8315625
21,1976,75,10,9,11281,87,119,0,23.5,0,102.08,32.125,150.4133333,1.16,23.54166667,0.011218001,157.7946154,50.95983333
22,1977,66,11,7,7559,54,57,0,13,0,93.67,28.845,114.530303,0.818181818,18.03333333,0.018595754,122.68375,40.9912963
23,1978,83,13,10,11441,91,64,1,8.75,0,159.9,34.82,137.8433735,1.096385542,11.53571429,0.035031294,292.0413953,61.57
24,1979,86,10,7,9403,122,48.5,1,5,0,123.42,29.185,109.3372093,1.418604651,12.158,0.048480813,363.6775472,49.0027027
25,1980,102,11,15,11153,113,35,0,4.75,0,58.78,33.25,109.3431373,1.107843137,19.12068966,0.072498595,221.8834667,79.961125
26,1981,70,10,14,7530,95,33.5,1,18.5,0,111.82,17.14,107.5714286,1.357142857,23.43333333,0.01940799,204.9230909,43.5937037
27,1982,66,10,13,5100,110,26,1,8.75,0,83.915,20.67,77.27272727,1.666666667,14.84375,0.043238319,143.3769565,40.514375
28,1983,69,10,13,6329,94,27,1,4.5,0,114.355,26.405,91.72463768,1.362318841,14.6,0.044472743,237.5215217,62.70444444
29,1984,76,8,20,8952,121,60.5,1,9.25,0,219.945,24.215,117.7894737,1.592105263,19.37882353,0.053272882,383.1041667,44.18913793
30,1985,129,11,25,16414,221,46,1,6.6,0,126.65,20.73,127.2403101,1.713178295,15.66896552,0.082326978,259.9938272,60.90284091
31,1986,146,11,24,15538,217,57.5,1,8.25,0,157.51,27.66,106.4246575,1.48630137,22.46195122,0.147089023,224.6897778,49.48105263
32,1987,171,11,23,14831,162,30,0,4.25,0,28.13,19.95,86.73099415,0.947368421,13.7386,0.166575435,144.70848,50.88617978
33,1988,72,9,24,8739,156,54.5,1,15,0,154.99,25.05,121.375,2.166666667,20.96190476,0.248801365,278.8226415,62.51129032
34,1989,126,11,29,12246,152,35,1,12,0,52.09,22.145,97.19047619,1.206349206,18.92425532,0.196742781,238.6637755,60.88244186
35,1990,114,10,28,16740,148,46,1,12.5,0,54.18,22.5,146.8421053,1.298245614,27.53088235,0.120481265,204.6684884,62.86333333
36,1991,133,13,24,18343,215,39,1,13.12,0,70.225,24.065,137.9172932,1.616541353,24.35425926,0.373146646,170.4606383,55.06644444
37,1992,100,10,28,12860,155,52.5,1,17,0.078306452,65.04,23.615,128.6,1.55,25.04230769,0.180912139,157.7645714,50.88592105
38,1993,146,12,30,18577,215,46.5,1,10,0.084048437,45.36,22.295,127.239726,1.47260274,21.48146341,0.192287691,135.7151304,45.4922
39,1994,143,13,28,18059,204,45,1,13,0.079545455,63.71,23.505,126.2867133,1.426573427,28.48933333,0.339460867,147.2911224,47.5205102
40,1995,161,16,33,24390,218,48,1,18.375,0.056338028,39.99,20.675,151.4906832,1.354037267,25.27772727,0.148935423,122.5548673,43.6059
41,1996,189,20,29,31445,330,60,1,12.5,0.098837209,50.34,21.805,166.3756614,1.746031746,24.93548387,0.29319878,128.2143662,54.93333333
42,1997,244,19,33,28808,294,42,1,15,0.094571836,37.635,19.95,118.0655738,1.204918033,23.64328671,0.301480448,96.13306452,44.54449704
43,1998,363,21,48,54590,429,50,1,13,0.039840637,33.165,15.26,150.3856749,1.181818182,24.02639175,0.311900693,61.46876812,31.22
44,1999,310,22,39,31676,360,32,1,10,0.08733791,25.345,10.89,102.1806452,1.161290323,21.97766839,0.342575644,59.07416667,25.62525641
45,2000,324,20,39,36854,367,42,1,9,0.138684404,24.79,17.96,113.7469136,1.132716049,21.33669355,0.291357367,66.2887218,39.53391304
46,2001,331,26,37,39810,352,31,1,10,0.118809524,28.12,17.405,120.2719033,1.063444109,20.9816318,0.307280051,82.69560554,39.25360656
47,2002,362,27,45,49083,493,42,0,10,0.1199,32.12,17.65,135.5883978,1.361878453,25.19868421,0.472179586,96.23658147,49.88224409
48,2003,342,26,49,67273,363,74,0,10,0.102390271,36.935,17.595,196.7046784,1.061403509,25.00179167,0.172297943,90.19702128,50.96447581
49,2004,346,26,47,59035,289,63,0,13,0.090951956,33.055,14.105,170.6213873,0.835260116,23.38635514,0.182743793,92.3446371,39.86486486
50,2005,344,23,43,76595,403,87,0,20,0.08662216,41.77,20.52,222.6598837,1.171511628,28.82728111,0.23405532,95.7272619,49.09387665
51,2006,275,25,44,80201,453,128,0,20,0.075,67.01,27.01,291.64,1.647272727,32.63027174,0.186603906,134.220439,61.78883249
52,2007,251,23,48,88070,411,165,1,24.99,0.089187314,75,27.56,350.876494,1.637450199,38.24050562,0.40750055,161.7730732,69.34933333
53,2008,277,24,54,90530,443,133,1,24.99,0.096134615,75.04,30.34,326.8231047,1.599277978,37.81450237,0.236666451,131.6179079,58.91673913
54,2009,283,23,54,85065,490,150,1,24.99,0.113409091,60.85,25.74,300.5830389,1.731448763,38.38656388,0.222074657,133.715123,59.6037037
55,2010,332,27,59,94997,553,102,1,19.99,0.12201084,39.99,16.85,286.1355422,1.665662651,33.35045113,0.249231971,88.19925325,40.69873239
56,2011,387,29,62,91179,716,86,1,14.99,0.128508997,32.54,14.48,235.6046512,1.850129199,29.30347134,0.23808531,86.23028736,42.72359281
57,2012,433,30,78,96918,751,77,1,14.99,0.123333333,34.07,14.72,223.8290993,1.734411085,26.87085227,0.212844007,79.03530713,38.16992308
58,2013,450,32,83,118562,866,105,1,19.99,0.121915651,30.75,15.39,263.4711111,1.924444444,37.55449864,0.213916339,82.18599034,41.11859008
59,2014,486,31,97,128344,896,106.5,1,17.99,0.106635141,30.89,14.6,264.0823045,1.843621399,30.67077482,0.193116943,71.57927813,34.44958998
60,2015,565,34,104,138170,1055,94,1,19.99,0.105443038,29.82,15.165,244.5486726,1.867256637,33.00120805,0.217607372,59.61351301,35.16768595
61,2016,611,30,117,158827,1091,83,1,19.99,0.098609467,21.975,13.265,259.9459902,1.785597381,35.6561086,0.17403995,54.87218966,35.4478626
62,2017,569,30,108,175205,1166,109,1,19.99,0.103041237,24.035,14.92,307.9173989,2.049209139,39.515,0.17991802,53.00406934,38.02768463
63,2018,571,31,107,156678,1102,109,1,19.99,0.099862672,21.28,14.745,274.3922942,1.929947461,35.36546667,0.185142442,47.19082418,34.60661885
64,2019,545,33,96,178939,1142,125,1,19.99,0.101086773,19.44,15.3,328.3284404,2.095412844,43.37571429,0.215092637,45.85799622,38.32006742
65,2020,576,33,104,203990,1151,127.5,1,19.99,0.101100051,16.98,14.155,354.1493056,1.998263889,44.50857461,0.177771973,36.89021505,33.10101648
66,2021,613,33,116,254348,1174,139,1,29.99,0.088477876,18.2,15.915,414.9233279,1.915171289,49.64605322,0.368106025,40.29698606,42.95307377
